line_type,anlys_id,glac_id,anlys_time,area,db_area,width,length,primeclass,min_elev,mean_elev,max_elev,src_date,rec_status,glac_name,wgms_id,local_id,glac_stat,gone_date,gone_dt_e,subm_id,release_dt,proc_desc,rc_id,geog_area,chief_affl,conn_lvl,surge_type,term_type,gtng_o1reg,gtng_o2reg,rgi_gl_typ,parent_id,submitters,analysts,_year,_ref_name,_glims_id_input
glac_bound,332538,G008398E46623N,2010-06-01T00:00:00,15.825,15.8366,0.0,0.0,0,2223,2954,3573,2003-08-06T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,593,2016-02-01T09:00:00,"All glaciers are classified in the main processing stage with a thresholded ratio image and an additional threshold to provide the classification in shadow regions (e.g. Paul and Kaeaeb, 2005); All glaciers are classified in the main processing stage wit",30,European Alps,University of Zurich-Irchel,0,0,9,11,1,None,G008398E46623N,"Paul, Frank","Paul, Frank",2003,Rhonegletscher,G008398E46623N
glac_bound,337593,G008398E46623N,1992-06-01T00:00:00,20000800.0,19.9998,0.0,0.0,0,0,0,0,1850-09-01T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,595,2016-02-01T09:00:00,"Field and aerial photo reconstruction + Siegfried map, transfer to topographic map (1:25000). Manual digitization from transparent paper with topo map in bakcground, using ArcInfo and ArcGIS, Swiss coordinate system; Field and aerial photo reconstruction",30,European Alps,University of Zurich-Irchel,0,0,9,11,1,None,G008398E46623N,"Paul, Frank","Maisch, Max",1850,Rhonegletscher,G008398E46623N
glac_bound,340031,G008398E46623N,2008-01-01T00:00:00,15.3086,14.62,0.0,0.0,0,2208,0,3601,2008-09-30T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,596,2016-02-01T09:00:00,Glacier outlines were digitized manually in ArcGIS based on SWISSIMAGE Level 2. Glacier polygons were coded and named according the outlines of 1973.; Glacier outlines were digitized manually in ArcGIS based on SWISSIMAGE Level 2 (swisstopo) imagery.,571,Swiss Alps,University of Fribourg,0,0,9,11,1,None,G008398E46623N,"Fischer, Mauro","Fischer, Mauro",2008,Rhonegletscher,G008398E46623N
glac_bound,342923,G008398E46623N,1995-06-01T00:00:00,0.002048,17.4353,0.0,0.0,0,0,0,0,1973-09-01T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,599,2016-02-01T09:00:00,Southwest Switzerland: outlines were directly transferred from aerial photography to 1:25000 topo maps.; The outlines were directly transferred and digitized from aerial photography to 1:25000 topo maps. In September 1973 favorable conditions for glacier,30,European Alps,University of Zurich-Irchel,0,0,9,11,1,None,G008398E46623N,"Maisch, Max","Benz, Christof; Wipf, Andreas",1973,Rhonegletscher,G008398E46623N
glac_bound,86014,G008398E46623N,2009-04-04T00:00:00,16.0966,16.0959,0.0,0.0,0,0,0,0,1998-08-31T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,533,2009-04-30T19:18:21,"TM4/TM5 ratio; Glaciers were automatically mapped from TM raw data using two thresholds: TM3/TM5 > 2.1 and TM1 > 53. The glacier map was smoothed with a 3 by 3 median filter. After raster-vector conversion gross errors were manually removed (water, lakes",30,European Alps,University of Zurich-Irchel,0,0,9,11,1,None,G008398E46623N,"Paul, Frank","Paul, Frank",1998,Rhonegletscher,G008398E46623N
glac_bound,754359,G008398E46623N,2021-09-01T00:00:00,15.8848,15.8966,0.0,0.0,0,2211,2951,3606,2003-08-13T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,731,2021-10-09T09:00:00,Semi-automated glacier classification; The outlines are derived from 11 Landsat scenes acquired in 2003.,30,European Alps,University of Zurich-Irchel,0,0,9,11,1,None,G008398E46623N,"Paul, Frank","Frey, Holger; Le Bris, Raymond; Paul, Frank; Rastner, Philipp",2003,Rhonegletscher,G008398E46623N
glac_bound,1030475,G008398E46623N,2022-10-15T00:00:00,0.0,16.4627,0.0,0.0,0,0,0,0,1999-09-12T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,818,2022-11-28T09:00:00,Semi-automated glacier classification.; Semi-automatic mapping from Landsat satellite images.,585,European Alps,Friedrich-Alexander University (FAU),0,0,9,11,1,None,G008398E46623N,"Bajracharya, Samjwal","Braun, Matthias H.; Lippl, Stefan; Malz, Philipp; Seehaus, Thorsten C.; Sommer, Christian; Zemp, Michael",1999,Rhonegletscher,G008398E46623N
glac_bound,1079776,G008398E46623N,2013-05-28T00:00:00,15.31,0.687774,0.0,10055.0,0,2208,2949,3601,2009-09-15T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,579,2013-06-03T11:00:00,"SwissImage L2 aerial orthophotos, manual digitization; Glacier outlines were digitized manually from high-resolution aerial photography (swissimage level 2; 50cm resolution) acquired in september 2008 (34 glaciers); 2009(354 glaciers); 2010 (708 glaciers",571,Swiss Alps,University of Fribourg,0,0,9,11,1,None,G008398E46623N,"Fischer, Mauro","Fischer, Mauro",2009,Rhonegletscher,G008398E46623N
glac_bound,1079777,G008398E46623N,2013-05-28T00:00:00,15.31,14.6203,0.0,10055.0,0,2208,2949,3601,2009-09-15T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,579,2013-06-03T11:00:00,"SwissImage L2 aerial orthophotos, manual digitization; Glacier outlines were digitized manually from high-resolution aerial photography (swissimage level 2; 50cm resolution) acquired in september 2008 (34 glaciers); 2009(354 glaciers); 2010 (708 glaciers",571,Swiss Alps,University of Fribourg,0,0,9,11,1,None,G008398E46623N,"Fischer, Mauro","Fischer, Mauro",2009,Rhonegletscher,G008398E46623N
glac_bound,1096617,G008398E46623N,2019-04-15T00:00:00,14.1272,0.037289,0.0,0.0,0,2257,2969,3610,2015-08-29T00:00:00,okay,Rhonegletscher,None,B43/12n,exists,None,0,710,2019-04-15T09:00:00,Semi-automated glacier classification; The outlines are derived from 8 Sentinel 2 MSI tiles acquired in Aug. 2015.  Topographic information was derived semi-automatically from the 30 m ALOS AW3D30 DEM.,561,Various (GlobGlacier),University of Zurich-Irchel,0,0,9,11,1,None,G008398E46623N,"Paul, Frank","Azzoni, R.S.; Fugazza, D.; Le Bris, Raymond; Nemec, J.; Paul, Frank; Rabatel, Antoine; Ramusovic, M.; Rastner, Philipp; Schaub, Yvonne; Schwaizer (nee Bippus), Gabriele",2015,Rhonegletscher,G008398E46623N
