Region,Country,Glacier name
ALASKA,US,GULKANA
ALASKA,US,WOLVERINE
WESTERN NORTH AMERICA,US,COLUMBIA (2057)
WESTERN NORTH AMERICA,US,EASTON
WESTERN NORTH AMERICA,US,LEMON CREEK
WESTERN NORTH AMERICA,US,RAINBOW
WESTERN NORTH AMERICA,US,SOUTH CASCADE
WESTERN NORTH AMERICA,CA,HELM
WESTERN NORTH AMERICA,CA,PEYTO
WESTERN NORTH AMERICA,CA,PLACE
ARCTIC CANADA NORTH & SOUTH,CA,DEVON ICE CAP NW
ARCTIC CANADA NORTH & SOUTH,CA,MEIGHEN ICE CAP
ARCTIC CANADA NORTH & SOUTH,CA,MELVILLE SOUTH ICE CAP
ARCTIC CANADA NORTH & SOUTH,CA,WHITE
ICELAND,IS,BRÚARJÖKULL
ICELAND,IS,EYJABAKKAJÖKULL
ICELAND,IS,HOFSJÖKULL E
ICELAND,IS,HOFSJÖKULL N
ICELAND,IS,HOFSJÖKULL SW
ICELAND,IS,TUNGNÁRJÖKULL
SVALBARD & JAN MAYEN,SJ,AUSTRE BROEGGERBREEN
SVALBARD & JAN MAYEN,SJ,MIDTRE LOVÉNBREEN
SCANDINAVIA,NO,AALFOTBREEN
SCANDINAVIA,NO,ENGABREEN
SCANDINAVIA,NO,GRAASUBREEN
SCANDINAVIA,NO,HELLSTUGUBREEN
SCANDINAVIA,NO,LANGFJORDJOEKELEN
SCANDINAVIA,NO,NIGARDSBREEN
SCANDINAVIA,NO,REMBESDALSKAAKA
SCANDINAVIA,NO,STORBREEN
SCANDINAVIA,SE,MARMAGLACIÄREN
SCANDINAVIA,SE,RABOTS GLACIÄR
SCANDINAVIA,SE,RIUKOJIETNA
SCANDINAVIA,SE,STORGLACIÄREN
CENTRAL EUROPE,AT,GOLDBERGKEES
CENTRAL EUROPE,AT,HINTEREISFERNER
CENTRAL EUROPE,AT,JAMTALFERNER
CENTRAL EUROPE,AT,KESSELWANDFERNER
CENTRAL EUROPE,AT,PASTERZE
CENTRAL EUROPE,AT,VERNAGTFERNER
CENTRAL EUROPE,CH,ALLALIN
CENTRAL EUROPE,CH,BASÒDINO
CENTRAL EUROPE,CH,CLARIDEN
CENTRAL EUROPE,CH,GIÉTRO
CENTRAL EUROPE,CH,GRIES
CENTRAL EUROPE,CH,SILVRETTA
CENTRAL EUROPE,ES,MALADETA
CENTRAL EUROPE,FR,ARGENTIÈRE
CENTRAL EUROPE,FR,SAINT SORLIN
CENTRAL EUROPE,IT,CARESÈR
CENTRAL EUROPE,IT,CIARDONEY
CAUCASUS & MIDDLE EAST,RU,DJANKUAT
CAUCASUS & MIDDLE EAST,RU,GARABASHI
CAUCASUS & MIDDLE EAST,RU,LEVIY AKTRU
CENTRAL ASIA,KG,ABRAMOV
CENTRAL ASIA,KG,GOLUBIN
CENTRAL ASIA,KG,KARA-BATKAK
CENTRAL ASIA,KZ,TS. TUYUKSUYSKIY
CENTRAL ASIA,CN,URUMQI GLACIER NO. 1
SOUTHERN ANDES,BO,ZONGO
SOUTHERN ANDES,CL,ECHAURREN NORTE
