Name,Glims_id,wgms_id
Rhonegletscher,G008398E46623N,0
GULKANA,G214576E63274N,
WOLVERINE,,
COLUMBIA (2057),,
EASTON,,
LEMON CREEK,,
RAINBOW,,
SOUTH CASCADE,,
HELM,,
PEYTO,,
PLACE,,
DEVON ICE CAP NW,,
MEIGHEN ICE CAP,,
MELVILLE SOUTH ICE CAP,,
WHITE,,
BRÚARJÖKULL,,
EYJABAKKAJÖKULL,,
HOFSJÖKULL E,,
HOFSJÖKULL N,,
HOFSJÖKULL SW,,
TUNGNÁRJÖKULL,,
AUSTRE BROEGGERBREEN,,
MIDTRE LOVÉNBREEN,,
AALFOTBREEN,,
ENGABREEN,,
GRAASUBREEN,,
HELLSTUGUBREEN,,
LANGFJORDJOEKELEN,,
NIGARDSBREEN,,
REMBESDALSKAAKA,,
STORBREEN,,
MARMAGLACIÄREN,,
RABOTS GLACIÄR,,
RIUKOJIETNA,,
STORGLACIÄREN,,
GOLDBERGKEES,,
HINTEREISFERNER,,
JAMTALFERNER,,
KESSELWANDFERNER,,
PASTERZE,,
VERNAGTFERNER,,
ALLALIN,,
BASÒDINO,,
CLARIDEN,,
GIÉTRO,,
GRIES,,
SILVRETTA,,
MALADETA,,
ARGENTIÈRE,,
SAINT SORLIN,,
CARESÈR,,
CIARDONEY,,
DJANKUAT,,
GARABASHI,,
LEVIY AKTRU,,
ABRAMOV,,
GOLUBIN,,
KARA-BATKAK,,
TS. TUYUKSUYSKIY,,
URUMQI GLACIER NO. 1,,
ZONGO,,
ECHAURREN NORTE,,
